#Título,Descripción
Impost sobre l’increment de valor dels terrenys de naturalesa urbana,"L’IIVTNU és un tribut directe que grava l’increment de valor que ha experimentat un terreny mentre una persona ha estat propietària d’un pis, aparcament, traster, local, terreny, etc. Ha de pagar aquest impost la persona que ven un pis, una plaça de garatge, un traster, una botiga, una casa, etc., per l’increment del valor que ha experimentat el terreny mentre n’ha estat propietària. En cas d’herència o donació, és el nou propietari qui ha de pagar l’impost. La gestió d’aquest impost és íntegrament municipal."
Impost sobre el Valor Afegit (IVA),"Impost que grava el valor que s'incorpora a un producte en les diferents fases de la seva producció o comercialització."
IVA deduïble,"És la quota de l'IVA que es pot recuperar de l'adquisició de béns o serveis vinculats a una activitat econòmica que a l'hora liquida IVA."
Taxes i preus públics,"Quan l’Ajuntament fa activitats que beneficien o interessen particularment els ciutadans, pot exigir taxes o preus públics. També s’exigirà una taxa quan tingui lloc l’aprofitament especial de les vies públiques a favor d’un particular. Exemples típics d’activitats per les quals s’exigeix una taxa són la recollida d’escombraries, la concessió d’una llicència urbanística o el gual. Ha de pagar la taxa la persona que es beneficia del domini públic o d’un servei o activitat duta a terme per l’Ajuntament. És l’Ajuntament qui determina mitjançant les ordenances fiscals l’import de la taxa. La diferència entre una taxa i un preu públic és que la taxa s’estableix per a serveis que només presta l’Ajuntament (exemple: guals) i el preu públic s’utilitza per a aquells serveis que també pot prestar l’empresa privada (exemple: escoles bressol)."
Contribucions especials,"Quan l’Ajuntament du a terme obres públiques o estableix serveis dels quals el ciutadà obté un benefici o a través dels quals incrementa el valor dels seus béns, es poden exigir contribucions especials."
Resultat pressupostari ajustat,"El resultat pressupostari forma part de l’estat de liquidació del pressupost i és la diferència entre els drets de cobrament que s’han liquidat en l’exercici i les obligacions de pagament reconegudes en el mateix període. Per tant, és una magnitud que reflecteix el superàvit o dèficit de l’exercici de l’Ajuntament. El resultat pressupostari s’ha d’ajustar amb les obligacions que es financen amb romanent de tresoreria per a despeses generals i les desviacions de finançament de l’exercici derivades de les despeses amb finançament afectat, ja que aquestes circumstàncies distorsionen el resultat pressupostari. Quan el resultat pressupostari ajustat de l’exercici és negatiu, estem davant d’una situació financera que ha de ser analitzada i si és el cas corregida, ja que l’esmentat saldo manifesta la incapacitat dels drets reconeguts de l’exercici per atendre les obligacions generades en aquest, i per tant un incompliment del principi d’estabilitat pressupostària. "
Romanent de tresoreria per a despeses generals,"El romanent de tresoreria per a despeses generals forma part de l’estat de liquidació del pressupost i és la suma dels drets pendents de cobrament (del mateix exercici i dels anteriors) més els fons líquids de tresoreria menys els crèdits pendents de pagament (del mateix exercici i dels anteriors). Tot i la denominació de “romanent líquid de tresoreria”, aquesta magnitud no significa un sobrant líquid de tresoreria. És senzillament el resultat líquid que s’obtindria en l’hipotètic supòsit que es cobressin tots els drets reconeguts (no provisionals) i es paguessin totes les obligacions reconegudes, tant d’operacions pressupostàries com no pressupostàries, tenint en compte les desviacions de finançament afectat positives acumulades."
Estalvi net,"La magnitud de l’estalvi és un indicador de la situació financera de l’entitat local, de la capacitat de poder atendre al seu venciment la càrrega financera de l’endeutament. Es calcula de la forma següent: suma dels ingressos liquidats corresponents a impostos, taxes i preus públics, transferències corrents i ingressos patrimonials menys les despeses relatives a personal, béns corrents i serveis i transferències corrents (es tenen en compte les despeses finançades amb romanent de tresoreria per a despeses generals). A aquest resultat se li ha de restar l’anualitat teòrica d’amortització corresponent als préstecs concertats a llarg termini i als avals a tercers pendents de reemborsar."
Període mitjà de pagament,L’indicador <i>Període mitjà de pagament</i> (PMP) mesura el termini de pagament als proveïdors que presten serveis a l’Ajuntament (segons la normativa vigent aquest termini no pot superar els 30 dies).
Capacitat o Necessitat de Finançament (CNF),"La capacitat o necessitats de finançament d’un Ajuntament es mesura com la diferència entre els ingressos no financers i les despeses no financeres en termes del Sistema Europeu de Comptes (SEC). Quan el resultat és positiu (capacitat de finançament), indica que l’entitat té capacitat de finançament, i per tant superàvit pressupostari no financer. En canvi, si el resultat és negatiu, indica que l’entitat necessita finançament, és a dir, que té dèficit i ha de recórrer a l’endeutament."
Deute viu,"El deute viu és la totalitat de deute pendent de pagar que té l’Ajuntament procedent de préstecs a llarg termini amb entitats financeres i avals. És a dir, és el capital pendent d’amortitzar més els interessos generats."
Actiu,"Element de l'estat financer del Balanç de Situació, juntament amb el passiu, el qual suposa el conjunt de béns i drets a cobrar que posseeix l'Ajuntament en un determinat moment."
Ajust SEC,"Ajustos aplicats per passar de mostrar dades en termes de comptabilitat pressupostària a fer-ho en termes del Sistema Europeu de Comptes (SEC) o viceversa."
Articles,"2n nivell de desglossament i dígit de la classificació econòmica del pressupost."
Annex d'inversions,"Document que acompanya el pressupost i a on es recull la relació detallada de projectes d'inversió previstos o realitzats (depenent de si és el pressupost inicial o el pressupost liquidat)."
Balanç de Situació,"Estat financer que mostra la situació econòmica-patrimonial en un moment determinat. S'estructura en Actiu i Passiu."
Capacitat de retorn del deute,"Divisió del valor del Deute viu pel valor dels Ingressos corrents, el qual indica la capacitat econòmica existent per a retornar el deute."
Capítols,"1r nivell i dígit de la classificació econòmica del pressupost."
Cicle pressupostari,"Comprèn les diferents fases que passa un pressupost: elaboració i aprovació, execució i liquidació."
Criteri de caixa,"Criteri de imputació i comptabilització pel qual es registren ingressos i despeses segons el moment i valor de cobraments i pagaments."
Criteri de caixa rectificada,"Criteri de imputació i comptabilització pel qual es registren ingressos i despeses segons el moment i valor del naixement de drets i obligacions a cobrar i pagar respectivament."
Criteri de meritament,"Criteri de imputació i comptabilització pel qual es registren ingressos i despeses segons el seu corrent real i efectiu."
Comptabilitat de costos,"Sistema de comptabilitat basat en el meritament, el qual s’orienta al càlcul dels costos totals (costos directes i indirectes) dels béns i serveis realitzats. La informació de costos dels serveis permet facilitar la presa de decisions (tarifació, pressupostació,..) i optimitzar la despesa."
Comptabilitat financera,"Sistema de comptabilitat de partida doble, el qual es basa en el criteri de meritament i que permet l'obtenció dels principals estats financers anuals. És el sistema de comptabilitat també emprat normalment al sector privat."
Comptabilitat pressupostària,"Sistema comptable en què es basa el pressupost municipal i que reconeix la realització d'ingressos i despeses segons el naixement de drets a cobrar i obligacions a pagar respectivament (criteri de caixa rectificada)."
Compte de Pèrdues i Guanys (o de Resultat),"És l'estat financer que recull el resultat de l'exercici format pels ingressos i les despeses del mateix en termes de comptabilitat financera."
Compte de Resultats (pressupostari en termes SEC),"Estat que mostra els resultat pressupostari de l'exercici en termes del Sistema Europeu de Comptes (SEC)."
Compte General,"Document de caràcter unitari i anual, el qual mostra i explica la imatge fidel del patrimoni, de la situació financera, del resultat econòmic-patrimonial i de l'execució i resultats del pressupost de la corresponent administració."
Concepte,"3r nivell de desglossament i dígit de la classificació econòmica del pressupost."
Cost,"Consum efectiu de recursos per a la producció de béns i serveis."
Cost efectiu,"Sistema creat per l'Administració General de l'Estat per a aproximar el càlcul de costos dels serveis, mitjançant la utilització d'informació procedent dels pressupostos (costos directes, costos indirectes i inversions)."
Crèdit pressupostari,"És cadascuna de les assignacions individualitzades de partides despesa que figura en els pressupostos. "
Dèficit,"Situació en què els ingressos no financers en termes SEC són inferiors a les despeses no financeres en termes SEC, donant com a resultat una CNF amb signe negatiu (és a dir, una necessitat de finançament)."
Despeses,"Realització d'accions relatives a l'adquisició de recursos i béns i serveis."
Despeses amb finançament afectat/finalista,"Despeses finançades parcialment o totalment mitjançant ingressos finalistes/afectats (ingressos orientats a finançar unes despeses amb una finalitat concreta)."
Despeses corrents,"Són aquelles despeses necessàries per al funcionament ordinari de l'organització i la prestació de béns i serveis públics. Comprenen els capítols 1 a 5 de la classificació econòmica de les despeses."
Despeses de capital,"Despeses destinades a finançar la formació de capital (inversions (tant pròpies com alienes)). Es composa de les inversions reals (capítol 6) i les transferències de capital (capítol 7)."
Despeses financeres,"Categoria de despeses, relatives a operacions financeres, on s'inclouen les aportacions de capital a entitats, els préstecs i les bestretes (capítol 8) i les relatives a l’amortització del deute (capítol 9)."
Despeses no financeres,"Conjunt de despeses que comprèn les despeses corrents i les despeses de capital, suposant aquestes les despeses reals que efectua una administració. Comprèn els capítols 1 a 7 de la classificació econòmica de les despeses."
Deute,"Conjunt de diners que es deuen (passius) a uns tercers (normalment entitats financeres) arran la realització d'operacions financeres (endeutament) i amb l'acord de ser retornats d'acord amb uns terminis establerts, així com amb la inclusió de la satisfacció d'interessos i altres possibles compensacions."
Districtes,"Unitats organitzatives en forma de gerències de districte, que gestionen determinades polítiques municipals de forma descentralitzada i de forma corresponent amb l'estructura territorial per districtes de la ciutat de Barcelona."
Drets reconeguts (liquidats),"Acte mitjançant el qual es quantifica i es reconeix l’existència d’un dret a cobrament a favor de l’entitat envers un tercer. Suposa la realització del corresponent ingrés pressupostat."
Disposició,"Fase d'execució dels crèdits pressupostaris, anterior al reconeixement d'obligacions, que determina l’import exacte de la despesa a realitzar i que consisteix a acordar amb un tercer, després d’acomplir tota la tramitació legal, la realització concreta d’unes obres, la prestació d'uns serveis o el subministrament d'uns béns."
Despeses amb recursos propis o no finalistes,"Despeses pressupostàries finançades a càrrec del conjunt global d'ingressos de l'administració, sense tenir un finançament finalista (ingressos afectats/finalistes) associat."
Entitats dependents,"Entitats instrumentals de l'administració pública que esdevenen executores de les polítiques d'aquestes i envers les quals l'administració posseeix capacitat de control i/o vinculació financera."
Estalvi brut/corrent,"Magnitud que mostra la diferència o saldo entre els ingressos corrents i les despeses corrents. Es tracta d'un indicador de salut pressupostària i sovint se sol relativitzar o posar en comparativa com a % en relació als ingressos corrents."
Estructura econòmica,"Estructura pressupostària que classifica el pressupost segons la naturalesa econòmica dels ingressos (impostos, transferències,..) i de les despeses (despeses de personal, compra de béns i serveis, inversions reals,..)."
Estructura orgànica,"Estructura pressupostària que classifica el pressupost segons les unitats orgàniques que obtenen els ingressos i realitzen les despeses."
Estructura per programes,"Estructura pressupostària (orientada principalment pel cantó de les despeses) en què classifica el pressupost segons la orientació o finalitat que es persegueix (atenció a la gent gran, neteja viària, escoles bressol,..)."
Excedent/ Dèficit de finançament,"Representa la suma dels resultats obtinguts de la Capacitat o Necessitat de Finançament (CNF) i d’operacions financeres netes (ingressos financers menys despeses financeres). Mostra l'excedent/manca de els recursos totals (financers i no financers) generats en un any."
Execució del pressupost,"La fase d’execució del pressupost és aquella en què al llarg de l’exercici pressupostari es van obtenint i recaptant els ingressos i es van realitzant les despeses pressupostades, així com es poden produir modificacions en el pressupost d'acord amb el supòsits que habilita la corresponent normativa."
Fases d'execució dels crèdits pressupostaris,"Suposen les diferents fase o etapes pel que fa a l'execució dels crèdits pressupostaris (despeses). Les principals fases són l'Autorització (fase "A"), la Disposició (fase "D") i el reconeixement d'Obligacions (fase "O")."
Fiscalització,"Procés per el qual es comprova l'adequació d'actes administratius, que tenen o poden tenir impacte quant a drets i obligacions per a l'administració, en relació al compliment de la normativa vigent i dels preceptes normatius propis de la gestió econòmica-financera de les administracions públiques. "
ICAL,"Abreviació del mot de la Instrucció de Comptabilitat de les Administracions Locals, la qual regula els criteris, normes, formats i estructura del sistema de comptabilitat de les administracions locals."
Informes de Resultats de Programa,"Document que recull els acompliments i resultats obtinguts per un programa pressupostari un cop finalitzat l'exercici pressupostari (en la fase de liquidació del pressupost)."
Informes financers,"Documents informatius que s'utilitzen per tal d'explicar i informar la situació econòmica i financera d'una administració pública per a un període determinat."
Ingressos,"Obtenció de recursos i vies de finançament procedents de les diferents operacions que poden realitzar les administracions públiques (impostos, taxes i preus públics, multes i sancions, transferències, explotació i venda del patrimoni, endeutament,...)."
Ingressos corrents,"Ingressos relatius al l'activitat corrent i ordinària de les administracions públiques. Comprèn els capítols 1 a 5 de la classificació econòmica d'ingressos."
Ingressos de capital,"Ingressos relacionats amb activitats vinculades amb les operacions de venda d'inversions i recepció de transferències de capital. Comprèn els capítols 6 i 7 de la classificació econòmica d'ingressos."
Ingressos finalistes o afectats,"Ingressos percebuts els quals tenen per objecte finançar unes despeses concretes o amb una orientació o finalitat determinada."
Ingressos financers,"Ingressos procedents d'operacions de naturalesa financera com ara la venda d'actius financers, la incorporació de recursos procedents del romanent de tresoreria i els ingressos relatius a l'emissió de deute públic i de préstecs. Aquests ingressos comprenen els capítols 8 i 9 de la classificació econòmica d'ingressos."
Ingressos no financers,"Conjunt d'ingressos que comprèn els ingressos corrents i els ingressos de capital d'una administració, és a dir, els ingressos procedents de les seves operacions "reals". Aquests ingressos comprenen els capítols 1 a 7 de la classificació econòmica d'ingressos."
Límit de deute,"Regla fiscal o objectiu derivat de la normativa d'estabilitat pressupostària en què es limita el volum màxim de deute viu que poden tenir les administracions públiques."
Límits de despesa,"Limitacions globals i sectorials (sectors i districtes) de despesa a fi de garantir el compliment dels objectius financers i amb la normativa d’estabilitat pressupostària (limitacions globals), i per limitar i orientar estratègicament (segons prioritats) la formulació de propostes pressupostàries per part dels sectors i dels districtes. Aquests límits de despesa s'instrumenten dins del procés d'elaboració del pressupost."
Liquidació del pressupost,"Fase final del cicle pressupostari on un cop finalitzat l'exercici pressupostari, es formulen els corresponents comptes i estats pressupostaris i financers anuals, es procedeix al rendiment de comptes envers la ciutadania i s'analitzen els resultats obtinguts en l'exercici."
Llibre Verd,"Document que acompanya el pressupost anual (projecte o pressupost inicial aprovat) on s'inclouen els quadres i llistats que mostren el detall dels imports de les partides que comprenen el pressupost."
Marc Estratègic (o Programa d'Actuació Municipal (PAM)),"És el document i eina que plasma la planificació estratègica municipal per a un mandat polític determinat, on s'hi concreten prioritats, eixos, objectius a acomplir i projectes i actuacions destacades a realitzar."
Marc financer,"Document de planificació pressupostària que conté la projecció/planificació d’agregats pressupostaris i financers, en termes SEC, consolidat i a mitjà termini associat a un determinat pressupost anual."
Memòria Explicativa,"Document que acompanya el pressupost anual (projecte o pressupost inicial aprovat), de tipus explicatiu, on s'analitzen els imports que configuren els pressupostos."
Memòries de Programa,"Document que sintetitza l'estratègia associada i els resultats esperats en la relació amb els recursos assignats a cadascun dels programes pressupostari"
Memòries de Programa (Llibre),"Document que acompanya el pressupost anual (projecte o pressupost inicial aprovat), on es recullen les memòries de programa dels diferents centres gestors, especificant les fites a assolir amb els recursos assignats en els seus programes de despesa"
Normativa d'estabilitat pressupostària,"Conjunt de lleis i normes que regulen aspectes de matèria pressupostària i financera de les administracions públiques i que tenen per objectiu l'estabilitat i sostenibilitat de les finances públiques."
Objectiu d'estabilitat,"Objectius derivats de la normativa d'estabilitat pressupostària, basats en l'acompliment de valors quant a Capacitat/Necessitat de Finançament (CNF) (és a dir, superàvit o dèficit), i que han de ser acomplertes per part de les corresponents administracions públiques."
Obligacions reconegudes,"Valor relatiu al reconeixement de les obligacions a pagar a tercers arran els lliuraments de béns o la realització de serveis contractats. Suposa la realització efectiva de despeses i es correspon amb la fase de reconeixement d'obligacions (fase "O") dins l'execució dels crèdits pressupostaris."
Ordenances fiscals,"Normes que aprova l'Ajuntament i que regulen elements dels ingressos de competència municipal (impostos, taxes,..). "
Programa d'Actuació Municipal (PAM) (o Marc Estratègic),"És el document i eina que plasma la planificació estratègica municipal per a un mandat polític determinat, on s'hi concreten prioritats, eixos, objectius a acomplir i projectes i actuacions destacades a realitzar."
Paquets de decisió,"Elements que conformen les propostes pressupostàries dels sectors i districtes per a les despeses corrents en la fase d'elaboració del pressupost. Suposen propostes concretes de variació de polítiques públiques (nous serveis/projectes, increment de serveis, reducció de serveis,...) justificades i argumentades en termes de contribució a l'estratègia municipal i aportació de resultats públics."
Partida pressupostària,"Constitueix la unitat pressupostaria mínima, a la que s'atribueixen les consignacions i la comptabilització d'ingressos i despeses. S'identifica per la conjunció de la classificacions orgànica, programes i econòmica, així com, en determinats casos, també amb la identificació de projecte."
Passiu,"Element de l'estat financer del Balanç de Situació, juntament amb l'actiu, el qual recull les obligacions (no confondre amb obligacions en termes de comptabilitat pressupostària) de la corresponent organització. El passiu està conformat pels fons propis i els fons externs (creditors, préstecs,..)."
Perímetre de consolidació,"Delimitació concreta d'entitats que conformen conjunts d'unitats pel qual s'efectuarà la consolidació de comptes (pressupostària i financera)."
Polítiques de despesa,"2n nivell de desglossament i dígit de la classificació per programes del pressupost. Permet agrupar les despeses segons polítiques públiques o funcions diferenciades de l'administració."
Pressupost,"És el pla econòmic i financer anual vinculat a l’estratègia formulada pel Govern de Ciutat, esdevenint una eina clau per a la gestió pública, servint a la planificació, programació, control i seguiment i avaluació de les actuacions municipals. Té caràcter anual i conté les previsions d’ingressos que s’esperen obtenir i les despeses (crèdits pressupostaris) que com a màxim es podran realitzar en l’exercici corresponent."
Pressupost aprovat,"Projecte de pressupost que ha estat ratificat per la ple de la corporació i per tant, que pot entrar en vigor en el moment d'inici del corresponent exercici pressupostari."
Pressupost base de despeses,"És aquella estimació de recursos necessaris per tal de mantenir un nivell similar a l'actual quant a prestació de béns i serveis públics i poder fer front al compromisos ja adquirits. Aquest element forma part de les etapes en l'elaboració del pressupost."
Pressupost base d'ingressos,"És la projecció d’ingressos pel proper exercici pressupostari (exercici pel qual s'està elaborant el pressupost), considerant que les ordenances fiscals es mantenen constants. Aquest element forma part del procés d'elaboració del pressupost."
Pressupost ciutadà,"Document sintètic i explicatiu que acompanya els pressupostos, on s'expliquen de forma resumida i entenedora els principals concepte, trets i magnituds dels pressupostos municipals"
Pressupost consolidat,"El pressupost consolidat inclou tant el pressupost individual de l’Ajuntament, com el de les seves entitats dependents, essent l’agregació d’aquests (amb eliminació de les transferències internes) el pressupost consolidat del denominat “grup municipal”."
Pressupost definitiu,"És el resultat de l'aplicació al pressupost inicial de totes les modificacions que s'hi han realitzat al llarg de l'exercici pressupostari."
Pressupost Executiu,"És un sistema pressupostari que té per objecte vincular l’assignació i la gestió dels recursos pressupostaris amb l'estratègia (prioritats i resultats desitjats) de l’Ajuntament. En aquest sentit, aquest sistema pressupostari pretén avançar cap a la presa de decisions i gestió dels recursos públics basada en l'acompliment de l'estratègia municipal."
Pressupost inicial,"Correspon a les previsions d'ingressos i als crèdits de despesa consignats inicialment en els pressupostos aprovats."
Pressupost prorrogat,"Situació o mecanisme que davant la no aprovació d'un pressupost abans de l'inici del corresponent exercici, es prorroguen automàticament els ingressos i despeses inicials del darrer pressupost aprovat, incloent una sèrie d'ajustos determinats per la normativa."
Programa d'inversions municipal (PIM),"Programació plurianual dels projectes d'inversions concretats per a ser realitzats durant un mandat polític. El PIM és congruent amb el marc financer i es concreta anualment mitjançat els corresponents pressupostos anuals."
Programa d'Actuacions dels Districtes (PADs),"Document que recull les prioritats i actuacions i projectes estratègics dels corresponents districtes. Els PADs dels districtes han de ser congruents amb el PAM, el PIM i el marc financer municipal."
Programes pressupostaris,"Conjunt de béns, serveis i actuacions que tenen per finalitat aconseguir uns resultats concrets. Són les unitats bàsiques d'assignació i seguiment estratègic dels recursos pressupostaris. Els programes suposen el 4t dígit de la classificació pressupostària per programes"
Projecte de despesa,"Conjunt d'accions concretes de l'administració, programades i de caire no recurrent, que compten amb un inici i un final identificat. Els projectes formen una estructura pròpia (amb codificació pròpia) i no s'integren en cap classificació pressupostaria. Es defineixen projectes de despesa per a les despeses d'inversió."
Projecte de pressupost,"Proposta de pressupost elaborada i presentada per part del Govern de la ciutat, el qual inicia la seva tramitació plenària per a la seva aprovació final (pressupost aprovat). El pressupost finalment aprovat pot incorporar modificacions envers el projecte presentat, fruit d'esmenes i al·legacions i d'acords polítics."
Projectes d'inversió,"Unitat bàsica de concreció de les despeses d'inversió, la qual fa referència al conjunt de despeses que van associades a una actuació d'inversió concreta. L'estructura per projectes és una estructura pròpia i amb pròpia codificació. "
Regla de despesa,"Regla o objectiu fiscal derivat de la normativa en estabilitat pressupostària, el qual té per objecte la limitació del creixement anual de la despesa. La denominada “despesa computable” (principalment despesa no financera en termes consolidats i SEC, excloent la despesa en interessos i la despesa finançada amb ingressos finalistes), no pot créixer més d’un determinat % en relació a l’exercici anterior)."
Regles o objectius fiscals,"Regles o objectius de naturalesa pressupostària i financera (derivats normalment de la normativa en estabilitat pressupostària), envers els quals els pressupostos hi han de donar compliment, i que s'orienten cap a la fita d'assegurar l'estabilitat i sostenibilitat de les finances públiques."
Resultat pressupostari,"Forma part de l'Estat de liquidació del pressupost i és la diferència entre la totalitat dels drets pressupostaris nets liquidats en l'exercici i les obligacions pressupostàries netes reconegudes en el mateix període. Amb l'aplicació d'uns ajustos addicionals s'obté el resultat pressupostari ajustat."
Romanent de tresoreria,"Magnitud de naturalesa monetària o tresorera, que forma part dels estats pressupostaris anuals, la qual recull el valor resultant de sumar els fons líquids més els drets liquidats pendents de cobrar ajustats i restar el valor de les obligacions liquidades pendents de pagar. Aquesta magnitud informa sobre l'excedent o manca de finançament a curt termini de la corresponent entitat."
Sectors,"Agrupacions de gerències (i a la seva vegada de direccions) on cadascuna té designades unes competències de polítiques sectorials concretes. Els sectors es corresponen amb l'estructura executiva o gerencial de l'Ajuntament de Barcelona."
Sistema Europeu de Comptes (SEC),"Sistema de comptabilitat nacional, el qual serveix per valorar de forma homogènia els agregats i estats de les finances públiques dels països de la Unió Europea. És el sistema emprat pel càlcul i valoració dels resultats pressupostaris."
Subconcepte,"5è nivell de desglossament i dígit de la classificació econòmica del pressupost. Suposa el nivell de màxima desagregació o detall de la classificació econòmica."
Subprogrames,"Desglossament dels programes en línies d'actuació o de prestació de béns i serveis diferenciades dins dels programes pressupostaris. Els subprogrames suposen el 5è dígit de la classificació pressupostària per programes, i per tant, el seu màxim nivell de desglossament."
Superàvit,"Situació en què els ingressos no financers en termes SEC són superiors a les despeses no financeres en termes SEC, donant com a resultat una CNF amb signe positiu (és a dir, una capacitat de finançament)."
Tipologies de projectes d'inversió,"Classificació dels projectes d'inversió segons la seva orientació i finalitat concreta."
Transferències internes,"Transferències de recursos entre entitats que formen part d'un mateix grup organitzatiu o corporatiu."
Tresoreria,"Funció dins l'administració econòmica i financera d'una administració que té per objecte la planificació i gestió de l'estoc i els fluxos monetaris (cobraments i pagaments)."
Vinculació jurídica dels crèdits,"Vinculació d'un conjunt de crèdits pressupostaris, conformant una bossa de vinculació, on no es podrà executar despeses per valor superior a la suma dels crèdits que la conformen, però si que a nivell individual dels crèdits serà possible realitzar despeses per valor superior al import consignat."
